date,county,cases,deaths,new_cases,new_deaths
2021-04-01,Alameda,84125,1216,633,10
2021-04-02,Alameda,84204,1217,617,9
2021-04-03,Alameda,84278,1218,628,7
2021-04-04,Alameda,84345,1219,624,7
2021-04-05,Alameda,84464,1219,622,8
2021-04-06,Alameda,84580,1223,637,12
2021-04-07,Alameda,84693,1224,650,9
2021-04-08,Alameda,84777,1232,652,16
2021-04-09,Alameda,84883,1237,679,20
2021-04-10,Alameda,84950,1238,672,20
2021-04-11,Alameda,85014,1238,669,19
2021-04-12,Alameda,85151,1238,687,19
2021-04-13,Alameda,85253,1239,673,16
2021-04-14,Alameda,85359,1247,666,23
2021-04-15,Alameda,85456,1246,679,14
2021-04-16,Alameda,85563,1245,680,8
2021-04-17,Alameda,85642,1247,692,9
2021-04-18,Alameda,85717,1247,703,9
2021-04-19,Alameda,85832,1247,681,9
2021-04-20,Alameda,85950,1248,697,9
2021-04-21,Alameda,86045,1249,686,2
2021-04-22,Alameda,86124,1253,668,7
2021-04-23,Alameda,86214,1256,651,11
2021-04-24,Alameda,86288,1257,646,10
2021-04-25,Alameda,86343,1256,626,9
2021-04-26,Alameda,86444,1256,612,9
2021-04-27,Alameda,86538,1260,588,12
2021-04-28,Alameda,86628,1260,583,11
2021-04-29,Alameda,86700,1263,576,10
2021-04-30,Alameda,86767,1268,553,12
2021-05-01,Alameda,86828,1270,540,13
2021-05-02,Alameda,86871,1272,528,16
2021-05-03,Alameda,86956,1272,512,16
2021-05-04,Alameda,87032,1277,494,17
2021-05-05,Alameda,87124,1278,496,18
2021-05-06,Alameda,87185,1278,485,15
2021-05-07,Alameda,87261,1280,494,12
2021-05-08,Alameda,87314,1284,486,14
2021-05-09,Alameda,87356,1284,485,12
2021-05-10,Alameda,87426,1284,470,12
2021-05-11,Alameda,87495,1290,463,13
2021-05-12,Alameda,87560,1261,436,-17
2021-05-13,Alameda,87592,1250,407,-28
2021-05-14,Alameda,87635,1249,374,-31
2021-05-15,Alameda,87669,1252,355,-32
2021-05-16,Alameda,87695,1253,339,-31
2021-05-17,Alameda,87759,1253,333,-31
2021-05-18,Alameda,87812,1254,317,-36
2021-05-19,Alameda,87886,1260,326,-1
2021-05-20,Alameda,87926,1264,334,14
2021-05-21,Alameda,87969,1263,334,14
2021-05-22,Alameda,87995,1263,326,11
2021-05-23,Alameda,88022,1263,327,10
2021-05-24,Alameda,88085,1263,326,10
2021-05-25,Alameda,88125,1263,313,9
2021-05-26,Alameda,88155,1266,269,6
2021-05-27,Alameda,88184,1274,258,10
2021-05-28,Alameda,88219,1261,250,-2
2021-05-29,Alameda,88243,1253,248,-10
2021-05-30,Alameda,88266,1253,244,-10
2021-05-31,Alameda,88289,1253,204,-10
2021-06-01,Alameda,88325,1253,200,-10
2021-06-02,Alameda,88360,1254,205,-12
2021-06-03,Alameda,88405,1257,221,-17
2021-06-04,Alameda,88443,1263,224,2
2021-06-05,Alameda,88470,1268,227,15
2021-06-06,Alameda,88503,1267,237,14
2021-06-07,Alameda,88541,1267,252,14
2021-06-08,Alameda,88598,1267,273,14
2021-06-09,Alameda,88646,1271,286,17
2021-06-10,Alameda,88690,1275,285,18
2021-06-11,Alameda,88734,1278,291,15
2021-06-12,Alameda,88762,1271,292,3
2021-06-13,Alameda,88789,1264,286,-3
2021-06-14,Alameda,88845,1264,304,-3
2021-06-15,Alameda,88893,1262,295,-5
2021-06-16,Alameda,88935,1265,289,-6
2021-06-17,Alameda,88984,1262,294,-13
2021-06-18,Alameda,89030,1263,296,-15
2021-06-19,Alameda,89067,1263,305,-8
2021-06-20,Alameda,89102,1263,313,-1
2021-06-21,Alameda,89167,1262,322,-2
2021-06-22,Alameda,89223,1263,330,1
2021-06-23,Alameda,89290,1266,355,1
2021-06-24,Alameda,89362,1268,378,6
2021-06-25,Alameda,89434,1271,404,8
2021-06-26,Alameda,89502,1259,435,-4
2021-06-27,Alameda,89559,1259,457,-4
2021-06-28,Alameda,89646,1259,479,-3
2021-06-29,Alameda,89741,1257,518,-6
2021-06-30,Alameda,89847,1256,557,-10
2021-04-01,Alpine,85,0,0,0
2021-04-02,Alpine,85,0,0,0
2021-04-03,Alpine,85,0,0,0
2021-04-04,Alpine,85,0,0,0
2021-04-05,Alpine,85,0,0,0
2021-04-06,Alpine,85,0,0,0
2021-04-07,Alpine,85,0,0,0
2021-04-08,Alpine,85,0,0,0
2021-04-09,Alpine,85,0,0,0
2021-04-10,Alpine,85,0,0,0
2021-04-11,Alpine,85,0,0,0
2021-04-12,Alpine,85,0,0,0
2021-04-13,Alpine,85,0,0,0
2021-04-14,Alpine,85,0,0,0
2021-04-15,Alpine,85,0,0,0
2021-04-16,Alpine,85,0,0,0
2021-04-17,Alpine,85,0,0,0
2021-04-18,Alpine,85,0,0,0
2021-04-19,Alpine,85,0,0,0
2021-04-20,Alpine,85,0,0,0
2021-04-21,Alpine,86,0,1,0
2021-04-22,Alpine,86,0,1,0
2021-04-23,Alpine,86,0,1,0
2021-04-24,Alpine,87,0,2,0
2021-04-25,Alpine,87,0,2,0
2021-04-26,Alpine,87,0,2,0
2021-04-27,Alpine,87,0,2,0
2021-04-28,Alpine,87,0,1,0
2021-04-29,Alpine,87,0,1,0
2021-04-30,Alpine,87,0,1,0
2021-05-01,Alpine,87,0,0,0
2021-05-02,Alpine,87,0,0,0
2021-05-03,Alpine,87,0,0,0
2021-05-04,Alpine,87,0,0,0
2021-05-05,Alpine,87,0,0,0
2021-05-06,Alpine,87,0,0,0
2021-05-07,Alpine,87,0,0,0
2021-05-08,Alpine,87,0,0,0
