date,county,confirmed_cases,reported_deaths
2021-10-04,Alameda,115835,1347
2021-10-04,Alpine,102,0
2021-10-04,Amador,5162,61
2021-10-04,Butte,19081,245
2021-10-04,Calaveras,3641,73
2021-10-04,Colusa,2413,18
2021-10-04,Contra Costa,95956,937
2021-10-04,Del Norte,3485,39
2021-10-04,El Dorado,15031,138
2021-10-04,Fresno,129664,1978
2021-10-04,Glenn,3270,26
2021-10-04,Humboldt,8353,94
2021-10-04,Imperial,31861,757
2021-10-04,Inyo,1792,39
2021-10-04,Kern,118979,1531
2021-10-04,Kings,29700,303
2021-10-04,Lake,6248,97
2021-10-04,Lassen,6405,25
2021-10-04,Los Angeles,1399375,26186
2021-10-04,Madera,21124,266
2021-10-04,Marin,17003,242
2021-10-04,Mariposa,1024,5
2021-10-04,Mendocino,6947,79
2021-10-04,Merced,39563,558
2021-10-04,Modoc,473,5
2021-10-04,Mono,1561,3
2021-10-04,Monterey,47058,571
2021-10-04,Napa,12505,96
2021-10-04,Nevada,8558,90
2021-10-04,Orange,298164,5438
2021-10-04,Placer,34630,379
2021-10-04,Plumas,1329,6
2021-10-04,Riverside,348771,4923
2021-10-04,Sacramento,150885,2115
2021-10-04,San Benito,7097,69
2021-10-04,San Bernardino,342375,5551
2021-10-04,San Diego,358525,4090
2021-10-04,San Francisco,50791,638
2021-10-04,San Joaquin,95191,1649
2021-10-04,San Luis Obispo,28079,323
2021-10-04,San Mateo,51952,569
2021-10-04,Santa Barbara,42585,511
2021-10-04,Santa Clara,141827,1869
2021-10-04,Santa Cruz,19559,216
2021-10-04,Shasta,19170,279
2021-10-04,Sierra,136,0
2021-10-04,Siskiyou,3103,42
2021-10-04,Solano,44081,322
2021-10-04,Sonoma,39711,381
2021-10-04,Stanislaus,74425,1106
2021-10-04,Sutter,13256,164
2021-10-04,Tehama,7584,95
2021-10-04,Trinity,649,11
2021-10-04,Tulare,62957,920
2021-10-04,Tuolumne,6442,89
2021-10-04,Ventura,95166,1153
2021-10-04,Yolo,18761,242
2021-10-04,Yuba,9479,68
2021-10-03,Alameda,115835,1349
2021-10-03,Alpine,102,0
2021-10-03,Amador,5162,61
2021-10-03,Butte,19081,245
2021-10-03,Calaveras,3641,73
2021-10-03,Colusa,2413,18
2021-10-03,Contra Costa,95956,937
2021-10-03,Del Norte,3485,39
2021-10-03,El Dorado,15031,139
2021-10-03,Fresno,129664,1978
2021-10-03,Glenn,3270,26
2021-10-03,Humboldt,8353,94
2021-10-03,Imperial,31861,757
2021-10-03,Inyo,1792,39
2021-10-03,Kern,118979,1535
2021-10-03,Kings,29700,300
2021-10-03,Lake,6248,97
2021-10-03,Lassen,6405,25
2021-10-03,Los Angeles,1399375,26179
2021-10-03,Madera,21124,266
2021-10-03,Marin,17003,242
2021-10-03,Mariposa,1024,5
2021-10-03,Mendocino,6947,79
2021-10-03,Merced,39563,558
2021-10-03,Modoc,473,5
2021-10-03,Mono,1561,3
2021-10-03,Monterey,47058,571
2021-10-03,Napa,12505,96
2021-10-03,Nevada,8558,90
2021-10-03,Orange,298164,5447
2021-10-03,Placer,34630,379
2021-10-03,Plumas,1329,6
2021-10-03,Riverside,348771,4924
2021-10-03,Sacramento,150885,2120
2021-10-03,San Benito,7097,69
2021-10-03,San Bernardino,342375,5555
2021-10-03,San Diego,358525,4081
2021-10-03,San Francisco,50791,638
2021-10-03,San Joaquin,95191,1649
2021-10-03,San Luis Obispo,28079,325
2021-10-03,San Mateo,51952,569
2021-10-03,Santa Barbara,42585,511
2021-10-03,Santa Clara,141827,1869
2021-10-03,Santa Cruz,19559,216
2021-10-03,Shasta,19170,279
2021-10-03,Sierra,136,0
2021-10-03,Siskiyou,3103,42
2021-10-03,Solano,44081,322
2021-10-03,Sonoma,39711,381
2021-10-03,Stanislaus,74425,1106
2021-10-03,Sutter,13256,164
2021-10-03,Tehama,7584,94
2021-10-03,Trinity,649,11
2021-10-03,Tulare,62957,924
2021-10-03,Tuolumne,6442,89
2021-10-03,Ventura,95166,1153
2021-10-03,Yolo,18761,242
2021-10-03,Yuba,9479,68
2021-10-02,Alameda,115822,1343
2021-10-02,Alpine,102,0
2021-10-02,Amador,5162,61
2021-10-02,Butte,19079,243
2021-10-02,Calaveras,3640,72
2021-10-02,Colusa,2413,18
2021-10-02,Contra Costa,95950,933
2021-10-02,Del Norte,3482,39
2021-10-02,El Dorado,15029,136
2021-10-02,Fresno,129641,1964
2021-10-02,Glenn,3270,26
2021-10-02,Humboldt,8352,94
2021-10-02,Imperial,31849,757
2021-10-02,Inyo,1790,39
2021-10-02,Kern,118962,1524
2021-10-02,Kings,29687,301
2021-10-02,Lake,6242,97
2021-10-02,Lassen,6405,25
2021-10-02,Los Angeles,1399356,26126
2021-10-02,Madera,21123,266
2021-10-02,Marin,17003,242
2021-10-02,Mariposa,1024,5
2021-10-02,Mendocino,6947,78
2021-10-02,Merced,39554,552
2021-10-02,Modoc,473,5
2021-10-02,Mono,1561,3
2021-10-02,Monterey,47055,571
2021-10-02,Napa,12498,96
2021-10-02,Nevada,8557,87
2021-10-02,Orange,298159,5435
2021-10-02,Placer,34624,381
2021-10-02,Plumas,1329,6
2021-10-02,Riverside,348754,4895
2021-10-02,Sacramento,150872,2099
2021-10-02,San Benito,7096,69
2021-10-02,San Bernardino,342363,5540
2021-10-02,San Diego,358496,4078
2021-10-02,San Francisco,50784,634
2021-10-02,San Joaquin,95174,1646
2021-10-02,San Luis Obispo,28077,323
2021-10-02,San Mateo,51949,573
2021-10-02,Santa Barbara,42577,508
2021-10-02,Santa Clara,141822,1862
2021-10-02,Santa Cruz,19559,214
2021-10-02,Shasta,19170,270
2021-10-02,Sierra,136,0
2021-10-02,Siskiyou,3103,42
2021-10-02,Solano,44079,321
2021-10-02,Sonoma,39710,382
2021-10-02,Stanislaus,74408,1099
2021-10-02,Sutter,13252,160
2021-10-02,Tehama,7583,93
2021-10-02,Trinity,649,10
2021-10-02,Tulare,62939,908
2021-10-02,Tuolumne,6440,89
2021-10-02,Ventura,95161,1148
2021-10-02,Yolo,18759,242
2021-10-02,Yuba,9472,66
2021-10-01,Alameda,115789,1343
2021-10-01,Alpine,102,0
2021-10-01,Amador,5162,61
2021-10-01,Butte,19075,243
2021-10-01,Calaveras,3636,72
2021-10-01,Colusa,2413,18
2021-10-01,Contra Costa,95911,933
2021-10-01,Del Norte,3481,39
2021-10-01,El Dorado,15019,136
2021-10-01,Fresno,129554,1964
2021-10-01,Glenn,3270,26
2021-10-01,Humboldt,8352,94
2021-10-01,Imperial,31837,757
2021-10-01,Inyo,1787,39
2021-10-01,Kern,118917,1524
2021-10-01,Kings,29671,301
2021-10-01,Lake,6239,97
2021-10-01,Lassen,6405,25
2021-10-01,Los Angeles,1399016,26126
2021-10-01,Madera,21110,266
2021-10-01,Marin,16994,242
2021-10-01,Mariposa,1023,5
2021-10-01,Mendocino,6943,78
2021-10-01,Merced,39542,552
2021-10-01,Modoc,473,5
2021-10-01,Mono,1561,3
2021-10-01,Monterey,47052,571
2021-10-01,Napa,12492,96
2021-10-01,Nevada,8556,87
2021-10-01,Orange,298108,5435
2021-10-01,Placer,34608,381
2021-10-01,Plumas,1329,6
2021-10-01,Riverside,348658,4895
2021-10-01,Sacramento,150802,2099
2021-10-01,San Benito,7094,69
2021-10-01,San Bernardino,342293,5540
2021-10-01,San Diego,358376,4078
2021-10-01,San Francisco,50768,634
2021-10-01,San Joaquin,95144,1646
2021-10-01,San Luis Obispo,28076,323
2021-10-01,San Mateo,51937,573
2021-10-01,Santa Barbara,42563,508
2021-10-01,Santa Clara,141743,1862
2021-10-01,Santa Cruz,19554,214
2021-10-01,Shasta,19159,270
2021-10-01,Sierra,136,0
2021-10-01,Siskiyou,3103,42
2021-10-01,Solano,44047,321
2021-10-01,Sonoma,39701,382
2021-10-01,Stanislaus,74377,1099
2021-10-01,Sutter,13244,160
2021-10-01,Tehama,7582,93
2021-10-01,Trinity,649,10
2021-10-01,Tulare,62901,908
2021-10-01,Tuolumne,6438,89
2021-10-01,Ventura,95141,1148
2021-10-01,Yolo,18751,242
2021-10-01,Yuba,9466,66
