date,county,confirmed_cases,reported_deaths
2021-09-26,Alameda,114592,1326
2021-09-26,Alpine,101,0
2021-09-26,Amador,5000,59
2021-09-26,Butte,18634,238
2021-09-26,Calaveras,3505,70
2021-09-26,Colusa,2391,18
2021-09-26,Contra Costa,94875,924
2021-09-26,Del Norte,3466,37
2021-09-26,El Dorado,14738,132
2021-09-26,Fresno,127235,1939
2021-09-26,Glenn,3182,26
2021-09-26,Humboldt,8096,91
2021-09-26,Imperial,31457,756
2021-09-26,Inyo,1685,39
2021-09-26,Kern,116923,1502
2021-09-26,Kings,28928,293
2021-09-26,Lake,6113,95
2021-09-26,Lassen,6319,25
2021-09-26,Los Angeles,1390348,26035
2021-09-26,Madera,20627,262
2021-09-26,Marin,16855,242
2021-09-26,Mariposa,929,5
2021-09-26,Mendocino,6744,74
2021-09-26,Merced,38715,548
2021-09-26,Modoc,465,5
2021-09-26,Mono,1516,3
2021-09-26,Monterey,46792,571
2021-09-26,Napa,12339,95
2021-09-26,Nevada,8351,84
2021-09-26,Orange,296084,5409
2021-09-26,Placer,34043,370
2021-09-26,Plumas,1268,6
2021-09-26,Riverside,345201,4864
2021-09-26,Sacramento,148743,2071
2021-09-26,San Benito,7010,67
2021-09-26,San Bernardino,339729,5545
2021-09-26,San Diego,354414,4051
2021-09-26,San Francisco,50085,622
2021-09-26,San Joaquin,93928,1633
2021-09-26,San Luis Obispo,27613,319
2021-09-26,San Mateo,51490,571
2021-09-26,Santa Barbara,41946,505
2021-09-26,Santa Clara,140654,1852
2021-09-26,Santa Cruz,19279,214
2021-09-26,Shasta,18566,266
2021-09-26,Sierra,128,0
2021-09-26,Siskiyou,2998,42
2021-09-26,Solano,43526,314
2021-09-26,Sonoma,39293,370
2021-09-26,Stanislaus,73224,1091
2021-09-26,Sutter,13040,155
2021-09-26,Tehama,7322,88
2021-09-26,Trinity,591,9
2021-09-26,Tulare,61560,904
2021-09-26,Tuolumne,6236,89
2021-09-26,Ventura,94387,1138
2021-09-26,Yolo,18496,239
2021-09-26,Yuba,9273,64
2021-09-25,Alameda,114592,1324
2021-09-25,Alpine,101,0
2021-09-25,Amador,5000,59
2021-09-25,Butte,18634,236
2021-09-25,Calaveras,3505,70
2021-09-25,Colusa,2391,16
2021-09-25,Contra Costa,94875,924
2021-09-25,Del Norte,3466,35
2021-09-25,El Dorado,14738,130
2021-09-25,Fresno,127235,1927
2021-09-25,Glenn,3182,25
2021-09-25,Humboldt,8096,88
2021-09-25,Imperial,31457,755
2021-09-25,Inyo,1685,39
2021-09-25,Kern,116923,1485
2021-09-25,Kings,28928,293
2021-09-25,Lake,6113,92
2021-09-25,Lassen,6319,25
2021-09-25,Los Angeles,1390348,25964
2021-09-25,Madera,20627,262
2021-09-25,Marin,16855,242
2021-09-25,Mariposa,929,5
2021-09-25,Mendocino,6744,74
2021-09-25,Merced,38715,546
2021-09-25,Modoc,465,5
2021-09-25,Mono,1516,3
2021-09-25,Monterey,46792,567
2021-09-25,Napa,12339,95
2021-09-25,Nevada,8351,84
2021-09-25,Orange,296084,5374
2021-09-25,Placer,34043,367
2021-09-25,Plumas,1268,6
2021-09-25,Riverside,345201,4843
2021-09-25,Sacramento,148743,2049
2021-09-25,San Benito,7010,67
2021-09-25,San Bernardino,339729,5540
2021-09-25,San Diego,354414,4039
2021-09-25,San Francisco,50085,615
2021-09-25,San Joaquin,93928,1628
2021-09-25,San Luis Obispo,27613,318
2021-09-25,San Mateo,51490,568
2021-09-25,Santa Barbara,41946,505
2021-09-25,Santa Clara,140654,1844
2021-09-25,Santa Cruz,19279,214
2021-09-25,Shasta,18566,262
2021-09-25,Sierra,128,0
2021-09-25,Siskiyou,2998,41
2021-09-25,Solano,43526,312
2021-09-25,Sonoma,39293,369
2021-09-25,Stanislaus,73224,1091
2021-09-25,Sutter,13040,154
2021-09-25,Tehama,7322,86
2021-09-25,Trinity,591,9
2021-09-25,Tulare,61560,898
2021-09-25,Tuolumne,6236,89
2021-09-25,Ventura,94387,1129
2021-09-25,Yolo,18496,239
2021-09-25,Yuba,9273,61
2021-09-24,Alameda,114583,1324
2021-09-24,Alpine,101,0
2021-09-24,Amador,4997,59
2021-09-24,Butte,18627,236
2021-09-24,Calaveras,3503,70
2021-09-24,Colusa,2390,16
2021-09-24,Contra Costa,94865,924
2021-09-24,Del Norte,3466,35
2021-09-24,El Dorado,14738,130
2021-09-24,Fresno,127222,1927
2021-09-24,Glenn,3182,25
2021-09-24,Humboldt,8096,88
2021-09-24,Imperial,31457,755
2021-09-24,Inyo,1685,39
2021-09-24,Kern,116913,1485
2021-09-24,Kings,28919,293
2021-09-24,Lake,6112,92
2021-09-24,Lassen,6319,25
2021-09-24,Los Angeles,1390319,25964
2021-09-24,Madera,20624,262
2021-09-24,Marin,16854,242
2021-09-24,Mariposa,926,5
2021-09-24,Mendocino,6744,74
2021-09-24,Merced,38710,546
2021-09-24,Modoc,465,5
2021-09-24,Mono,1515,3
2021-09-24,Monterey,46786,567
2021-09-24,Napa,12338,95
2021-09-24,Nevada,8350,84
2021-09-24,Orange,296054,5374
2021-09-24,Placer,34033,367
2021-09-24,Plumas,1266,6
