date,county,at_least_one_dose,fully_vaccinated,new_doses_administered
2021-03-31,Alameda,594843,405168,19724
2021-03-31,Alpine,645,300,0
2021-03-31,Amador,13372,8245,204
2021-03-31,Butte,64828,40958,1807
2021-03-31,Calaveras,13639,9269,324
2021-03-31,Colusa,5923,3585,230
2021-03-31,Contra Costa,458947,286049,18596
2021-03-31,Del Norte,6488,3866,357
2021-03-31,El Dorado,63686,40313,1602
2021-03-31,Fresno,303559,169112,9860
2021-03-31,Glenn,7629,4757,133
2021-03-31,Humboldt,44838,28862,1909
2021-03-31,Imperial,59895,32645,1797
2021-03-31,Inyo,6226,4261,146
2021-03-31,Kern,212053,119600,8550
2021-03-31,Kings,32974,17261,954
2021-03-31,Lake,19119,12929,626
2021-03-31,Lassen,4873,2682,132
2021-03-31,Los Angeles,3313343,1906026,126093
2021-03-31,Madera,41860,23948,1413
2021-03-31,Marin,129352,84375,5916
2021-03-31,Mariposa,5130,2666,95
2021-03-31,Mendocino,35268,26124,932
2021-03-31,Merced,68878,37692,2460
2021-03-31,Modoc,2441,1883,10
2021-03-31,Mono,6736,4208,136
2021-03-31,Monterey,140365,69860,5578
2021-03-31,Napa,62157,39059,2029
2021-03-31,Nevada,35825,21939,1232
2021-03-31,Orange,1098355,598386,37953
2021-03-31,Placer,137032,90173,4188
2021-03-31,Plumas,6663,3582,305
2021-03-31,Riverside,659101,393967,18590
2021-03-31,Sacramento,468571,278516,13634
2021-03-31,San Benito,17928,10012,625
2021-03-31,San Bernardino,507016,303733,16893
2021-03-31,San Diego,1133190,718380,30701
2021-03-31,San Francisco,375669,231540,12646
2021-03-31,San Joaquin,193546,113598,6941
2021-03-31,San Luis Obispo,97054,57478,3940
2021-03-31,San Mateo,301264,197165,7440
2021-03-31,Santa Barbara,145219,79909,8704
2021-03-31,Santa Clara,641358,404649,21135
2021-03-31,Santa Cruz,103466,65801,4231
2021-03-31,Shasta,46492,29123,623
2021-03-31,Sierra,1213,858,8
2021-03-31,Siskiyou,12921,7924,177
