date,county,at_least_one_dose,fully_vaccinated,new_doses_administered,weekly_new_doses
2021-07-01,Alameda,1149966,1068646,3602,22792
2021-07-02,Alameda,1151631,1071199,4110,22120
2021-07-03,Alameda,1152538,1072432,2095,21027
2021-07-04,Alameda,1152586,1072497,109,19795
2021-07-05,Alameda,1153380,1073399,1682,18473
2021-07-06,Alameda,1154746,1075827,3722,18342
2021-07-07,Alameda,1155916,1077674,2886,18206
2021-07-08,Alameda,1157130,1079504,2931,17535
2021-07-09,Alameda,1158721,1081674,3660,17085
2021-07-10,Alameda,1159739,1083034,2297,17287
2021-07-11,Alameda,1160217,1083657,1053,18231
2021-07-12,Alameda,1161394,1085262,2672,19221
2021-07-13,Alameda,1162713,1086846,2797,18296
2021-07-14,Alameda,1163833,1088109,2283,17693
2021-07-15,Alameda,1165066,1089532,2583,17345
2021-07-16,Alameda,1166656,1091389,3372,17057
2021-07-17,Alameda,1167668,1092550,2131,16891
2021-07-18,Alameda,1168239,1093132,1064,16902
2021-07-19,Alameda,1169617,1094438,2606,16836
2021-07-20,Alameda,1171043,1095757,2679,16718
2021-07-21,Alameda,1172385,1096967,2502,16937
2021-07-22,Alameda,1173821,1098182,2596,16950
2021-07-23,Alameda,1175595,1099902,3428,17006
2021-07-24,Alameda,1176854,1100922,2256,17131
2021-07-25,Alameda,1177379,1101109,732,16799
2021-07-26,Alameda,1178979,1102093,2517,16710
2021-07-27,Alameda,1180725,1103324,2913,16944
2021-07-28,Alameda,1182168,1104307,2377,16819
2021-07-29,Alameda,1183907,1105525,2875,17098
2021-07-30,Alameda,1185980,1107090,3563,17233
2021-07-31,Alameda,1187306,1108008,2231,17208
2021-08-01,Alameda,1187865,1108365,945,17421
2021-08-02,Alameda,1189762,1109524,2980,17884
2021-08-03,Alameda,1191856,1110733,3203,18174
2021-08-04,Alameda,1193608,1111707,2709,18506
2021-08-05,Alameda,1195652,1112948,3258,18889
2021-08-06,Alameda,1198161,1114527,4062,19388
2021-08-07,Alameda,1199588,1115555,2466,19623
2021-08-08,Alameda,1200347,1116044,1234,19912
2021-08-09,Alameda,1202123,1117398,3117,20049
2021-08-10,Alameda,1203782,1118669,2901,19747
2021-08-11,Alameda,1205246,1119725,2491,19529
