date,zcta,at_least_one_dose,fully_vaccinated
2021-07-01,90001,30,17
2021-07-06,90001,45,33
2021-07-13,90001,49,33
2021-07-20,90001,49,35
2021-07-27,90001,51,37
2021-08-03,90001,51,39
2021-08-10,90001,52,40
2021-08-17,90001,54,43
2021-08-24,90001,55,44
2021-08-31,90001,55,44
2021-09-07,90001,57,46
2021-09-28,90001,58,47
2021-07-01,90002,32,20
2021-07-06,90002,35,21
2021-07-13,90002,37,21
2021-07-20,90002,38,21
2021-07-27,90002,39,23
2021-08-03,90002,39,25
2021-08-10,90002,40,25
2021-08-17,90002,41,27
2021-08-24,90002,41,28
2021-08-31,90002,41,28
2021-09-07,90002,42,29
2021-09-14,90002,42,30
2021-09-21,90002,45,30
2021-09-28,90002,46,31
2021-07-27,90003,32,21
2021-08-03,90003,33,22
2021-08-10,90003,37,23
2021-08-17,90003,39,24
2021-08-24,90003,42,26
2021-08-31,90003,42,26
2021-09-07,90003,43,28
2021-09-14,90003,44,28
2021-09-21,90003,45,29
2021-09-28,90003,45,29
2021-07-01,90004,67,36
2021-07-06,90004,68,38
2021-07-13,90004,68,40
2021-07-20,90004,68,40
2021-07-27,90004,68,40
2021-08-03,90004,68,40
2021-08-10,90004,68,40
2021-08-17,90004,70,40
2021-08-24,90004,72,40
2021-08-31,90004,79,40
2021-09-07,90004,81,40
2021-09-14,90004,81,40
2021-09-21,90004,84,41
2021-09-28,90004,111,42
2021-09-14,90005,36,25
2021-09-21,90005,36,25
2021-09-28,90005,50,25
2021-07-01,90006,32,19
2021-07-06,90006,33,19
2021-07-13,90006,33,19
2021-07-20,90006,36,19
2021-07-27,90006,36,19
2021-08-03,90006,38,19
2021-08-10,90006,39,21
2021-08-17,90006,41,21
2021-08-24,90006,42,21
2021-08-31,90006,47,21
2021-09-07,90006,49,21
2021-09-14,90006,50,22
2021-09-21,90006,51,22
2021-09-28,90006,56,24
2021-07-01,90007,27,15
2021-07-27,90007,37,26
2021-08-03,90007,38,26
2021-08-10,90007,38,27
2021-08-17,90007,39,28
2021-08-24,90007,39,28
2021-08-31,90007,40,28
2021-09-07,90007,41,28
2021-09-14,90007,41,28
2021-09-21,90007,42,28
