zcta,vaccine_equity_metric_quartile
95698,2.0
93608,1.0
95564,2.0
95627,2.0
96137,2.0
95703,3.0
95545,1.0
95457,2.0
93240,1.0
95013,3.0
95635,2.0
93531,4.0
96143,3.0
96068,1.0
95443,N
95660,1.0
95490,2.0
91746,2.0
95453,2.0
95310,2.0
93060,2.0
96087,2.0
95410,3.0
91745,3.0
93065,4.0
95112,2.0
94520,2.0
96033,2.0
96034,2.0
95345,1.0
95628,3.0
90260,2.0
95488,3.0
95437,2.0
91931,3.0
95417,3.0
95407,2.0
95661,3.0
90046,3.0
95467,2.0
91605,1.0
91744,1.0
96142,3.0
91750,3.0
96140,3.0
91917,1.0
92321,3.0
94080,4.0
95569,2.0
92257,1.0
95463,4.0
94114,4.0
94519,3.0
90043,1.0
95364,N
95354,1.0
95446,2.0
90292,4.0
96073,3.0
95562,2.0
95454,1.0
95456,2.0
95546,1.0
95468,2.0
95573,1.0
95986,2.0
95311,3.0
95735,4.0
91103,2.0
95469,3.0
95429,2.0
90502,3.0
95222,2.0
91356,3.0
91752,2.0
96025,2.0
91765,3.0
96003,2.0
90027,2.0
96024,1.0
96124,2.0
95209,2.0
95033,4.0
95014,4.0
90806,1.0
90650,2.0
95227,3.0
95129,4.0
94533,2.0
95620,3.0
95615,2.0
95403,3.0
95425,3.0
95815,1.0
95460,3.0
92054,2.0
95366,3.0
90680,2.0
95305,N
95215,1.0
95415,2.0
95602,3.0
95742,4.0
95062,3.0
95023,3.0
90061,1.0
95303,2.0
95125,4.0
95065,4.0
90810,2.0
95603,3.0
95313,1.0
95765,4.0
95439,2.0
95348,1.0
95340,1.0
95423,1.0
95954,2.0
90241,2.0
90015,1.0
90745,3.0
90278,4.0
95317,1.0
95312,1.0
95821,1.0
90660,2.0
90704,2.0
90222,1.0
95494,1.0
95465,3.0
90068,3.0
95444,3.0
95571,1.0
95223,3.0
95124,4.0
95051,4.0
95020,3.0
95005,4.0
95449,2.0
95420,3.0
95426,2.0
96161,4.0
90058,1.0
95472,3.0
95202,1.0
91345,2.0
95134,4.0
95126,3.0
90304,1.0
94577,3.0
95663,4.0
95563,2.0
91740,3.0
95427,1.0
91506,3.0
95388,1.0
94538,4.0
95333,1.0
95471,N
95827,2.0
95587,1.0
90701,2.0
91330,N
95466,1.0
95747,4.0
96055,2.0
96028,2.0
96015,1.0
96114,3.0
95136,4.0
95822,2.0
95382,2.0
95374,1.0
95327,2.0
95224,3.0
90028,1.0
93067,3.0
90065,2.0
92310,1.0
95974,1.0
90712,3.0
96058,2.0
96092,3.0
92881,3.0
95556,1.0
90022,1.0
90057,1.0
90403,4.0
90274,4.0
90603,3.0
95401,3.0
90003,1.0
94513,4.0
91411,2.0
96040,3.0
91709,3.0
94062,4.0
91362,4.0
95525,3.0
95360,1.0
95548,1.0
95431,N
95412,2.0
95380,1.0
94306,4.0
94118,4.0
93243,2.0
94043,4.0
90089,N
96064,2.0
91733,1.0
90732,3.0
91741,3.0
95324,2.0
91739,4.0
94402,4.0
90024,3.0
94850,N
94578,2.0
95045,2.0
94551,4.0
95555,1.0
94025,4.0
95254,4.0
93239,1.0
94518,4.0
94087,4.0
90831,N
91046,2.0
90094,4.0
90073,N
90250,2.0
90018,1.0
90280,1.0
91371,N
91387,3.0
91403,4.0
91504,3.0
94545,3.0
93960,1.0
94515,3.0
91754,2.0
91763,1.0
90506,N
91436,4.0
90079,N
90710,2.0
91723,2.0
91759,4.0
90021,2.0
92371,1.0
90035,3.0
92688,4.0
94517,4.0
94503,3.0
92708,3.0
92806,2.0
92004,2.0
92007,4.0
92025,2.0
93611,3.0
92328,2.0
94569,4.0
92335,1.0
90212,4.0
92392,1.0
94957,4.0
93645,3.0
94720,N
92592,3.0
94531,4.0
94528,4.0
94505,4.0
94158,4.0
93675,1.0
94805,3.0
92308,1.0
94952,4.0
91724,3.0
94585,3.0
94561,3.0
95012,2.0
91008,4.0
92220,1.0
93453,3.0
92120,4.0
90503,3.0
93549,2.0
92543,1.0
90277,4.0
92823,4.0
95570,3.0
95122,2.0
95010,3.0
94946,4.0
92020,2.0
94021,4.0
94607,2.0
94592,3.0
94567,2.0
92505,2.0
92618,4.0
94571,2.0
94586,4.0
95368,2.0
94599,4.0
90638,3.0
93203,1.0
95482,2.0
94508,4.0
94563,4.0
90095,N
90254,4.0
94559,3.0
90059,1.0
90230,4.0
96130,2.0
95376,3.0
94131,4.0
95358,1.0
92397,3.0
94074,4.0
94590,1.0
94541,2.0
94530,4.0
92549,3.0
94122,4.0
90747,N
92591,3.0
90007,1.0
95365,1.0
96136,1.0
96141,N
95459,2.0
95464,1.0
95607,3.0
95526,2.0
90038,1.0
91210,N
95511,1.0
95432,3.0
95428,1.0
95379,3.0
95252,2.0
90040,1.0
95551,2.0
91792,2.0
95537,4.0
95039,1.0
95007,2.0
90805,1.0
95531,1.0
91780,3.0
95338,2.0
95567,2.0
93927,1.0
91402,1.0
95369,2.0
95357,1.0
94553,4.0
90405,4.0
91316,3.0
90606,2.0
95370,2.0
95329,2.0
92672,3.0
91731,1.0
94536,4.0
91737,4.0
91768,1.0
94116,4.0
94108,2.0
94089,4.0
95037,4.0
91326,4.0
94922,3.0
94510,4.0
91762,1.0
96150,3.0
96059,1.0
95386,1.0
92386,1.0
92563,3.0
94566,4.0
93950,4.0
94546,4.0
90090,N
96069,2.0
95320,3.0
91325,3.0
95346,3.0
95236,3.0
95226,N
91501,2.0
94565,2.0
94552,4.0
94547,4.0
90002,1.0
90755,3.0
94580,3.0
95601,3.0
90601,3.0
90706,2.0
90743,4.0
90742,4.0
92610,4.0
90740,3.0
90703,4.0
95493,3.0
95251,2.0
94526,4.0
94401,3.0
90004,1.0
94304,4.0
90731,2.0
95341,1.0
95949,3.0
92840,2.0
95686,1.0
95666,2.0
95658,3.0
95640,3.0
95988,2.0
94065,4.0
96057,2.0
94086,4.0
96134,2.0
95699,2.0
93634,2.0
94110,4.0
95486,3.0
95435,1.0
95833,2.0
95829,3.0
95816,4.0
95728,4.0
95709,3.0
92314,2.0
95113,4.0
96031,1.0
96016,2.0
95923,1.0
95608,2.0
93505,1.0
96056,2.0
96020,2.0
96008,N
96146,3.0
96132,1.0
95391,3.0
93552,1.0
95319,1.0
90032,1.0
95936,3.0
95934,1.0
95715,4.0
90042,2.0
95864,4.0
93664,4.0
93667,3.0
93673,1.0
95220,3.0
95207,1.0
95206,1.0
95776,3.0
96014,2.0
96120,2.0
96097,2.0
93110,3.0
93458,1.0
93616,1.0
93933,2.0
95681,2.0
93638,1.0
93720,3.0
93930,1.0
95219,3.0
95915,N
95006,4.0
93012,4.0
95527,2.0
95019,2.0
93030,2.0
95914,1.0
93040,2.0
93263,1.0
93274,1.0
93276,2.0
90746,3.0
95835,3.0
95726,3.0
95203,1.0
95695,2.0
95693,3.0
95070,4.0
95811,2.0
93501,1.0
95116,2.0
96122,1.0
95641,2.0
96101,2.0
95757,4.0
95724,N
95679,4.0
95652,N
95375,N
95701,3.0
93218,1.0
95690,3.0
95631,3.0
93261,1.0
95832,1.0
95736,N
95814,2.0
93612,1.0
95636,2.0
95387,1.0
93291,1.0
95670,2.0
96086,1.0
95722,4.0
95697,3.0
90822,N
95377,4.0
95314,N
95205,1.0
96155,N
96049,1.0
95963,1.0
93307,1.0
90717,3.0
95945,2.0
96106,3.0
96103,3.0
93461,3.0
96013,2.0
96011,1.0
93591,1.0
93701,1.0
93728,1.0
93304,1.0
93660,1.0
96093,3.0
96062,2.0
95519,3.0
96006,2.0
96104,2.0
95619,2.0
96052,1.0
95060,3.0
95032,4.0
93422,3.0
96051,2.0
96048,2.0
93925,2.0
95612,4.0
96090,1.0
96148,2.0
94066,4.0
95687,3.0
93626,3.0
96047,2.0
96032,2.0
96046,1.0
96023,1.0
96019,1.0
93924,3.0
93270,1.0
96111,4.0
95721,N
96121,2.0
93711,3.0
93260,N
95683,4.0
96125,4.0
96109,1.0
93627,1.0
95916,1.0
93252,1.0
96002,2.0
96145,4.0
96010,1.0
96116,1.0
95837,N
96110,2.0
96088,2.0
96063,1.0
96054,2.0
96084,1.0
95903,1.0
96050,1.0
93621,4.0
96129,3.0
90716,1.0
96021,2.0
93651,3.0
96108,2.0
96007,1.0
95977,2.0
96096,2.0
96133,2.0
96022,2.0
96075,N
94929,4.0
96039,1.0
95450,3.0
96135,3.0
95820,1.0
93454,2.0
96029,1.0
90744,1.0
95004,2.0
96074,1.0
93420,3.0
93546,4.0
96119,1.0
96091,2.0
96113,1.0
93609,1.0
96076,1.0
93618,1.0
96061,4.0
96017,2.0
93530,N
96001,2.0
95589,2.0
95355,2.0
96112,2.0
96117,N
96115,2.0
93560,1.0
96105,2.0
95503,2.0
93669,2.0
95497,4.0
96041,1.0
90047,1.0
95665,3.0
95542,1.0
95121,3.0
